GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenWMS.org WMS: Receiving,org.openwms.wms.order,OrderStartMode,24,0,0,0,5,0,1,0,1,0
OpenWMS.org WMS: Receiving,org.openwms.wms.order,OrderState,0,104,0,0,0,2,0,1,0,1
OpenWMS.org WMS: Receiving,org.openwms.common.transport.impl,AsyncTransportUnitApiImpl,9,12,0,0,2,5,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms.common.transport.impl,TransportUnitServiceImpl,6,6,0,0,2,3,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms.values,Problem,52,0,0,0,19,0,9,0,9,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.spi,DefaultOrderPositionProcessor,37,0,0,0,5,0,3,0,3,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.spi,DefaultOrderPositionProcessor.AjcClosure1,22,0,0,0,1,0,2,0,2,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.app,ReceivingModuleConfiguration,0,10,0,0,0,2,0,2,0,2
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.impl,OrderProcessor.AjcClosure1,18,0,0,0,1,0,2,0,2,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.impl,ReceivingOrderPosition,3,6,0,0,1,2,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.impl,ReceivingServiceImpl,51,13,2,0,10,5,2,2,1,2
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.impl,ReceivingOrder,47,9,0,0,16,3,12,1,12,1
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.impl,OrderProcessor,37,0,0,0,6,0,4,0,4,0
OpenWMS.org WMS: Receiving,org.openwms.wms.inventory,Product,33,3,2,0,11,2,8,1,7,1
OpenWMS.org WMS: Receiving,org.openwms.common.transport.event,TransportUnitEventListener,19,9,0,0,4,4,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms,ReceivingRunner,5,3,0,0,2,1,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving,ProcessingException,9,0,0,0,4,0,2,0,2,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving,ReceivingException,9,0,0,0,4,0,2,0,2,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving,ReceivingOrderCreatedEvent,8,0,0,0,3,0,2,0,2,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving,ReceivingController,23,9,0,0,5,4,1,1,1,1
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.api,ReceivingOrderVO,17,0,0,0,7,0,5,0,5,0
OpenWMS.org WMS: Receiving,org.openwms.wms.receiving.api,ReceivingOrderPositionVO,3,0,0,0,1,0,1,0,1,0
OpenWMS.org WMS: Receiving,org.openwms.common.transport,TransportUnit,6,3,0,0,3,2,1,1,1,1
